"Código","Unidade Territorial","UF","Referência","Famílias Beneficiárias","Valor Total Repassado","Valor Médio dos Benefícios"
"120001","ACRELÂNDIA","AC","11/2020","1785","45396","25.43"
"120001","ACRELÂNDIA","AC","07/2020","1791","10516","5.87"
"120001","ACRELÂNDIA","AC","04/2020","1786","10286","5.76"
"120001","ACRELÂNDIA","AC","09/2020","1785","40567","22.73"
"120001","ACRELÂNDIA","AC","01/2020","1610","301157.00","187.05"
"120001","ACRELÂNDIA","AC","02/2020","1607","299777","186.54"
"120001","ACRELÂNDIA","AC","03/2020","1576","296071","187.86"
"120001","ACRELÂNDIA","AC","05/2020","1791","10651","5.95"
"120001","ACRELÂNDIA","AC","06/2020","1791","9905","5.53"
"120001","ACRELÂNDIA","AC","08/2020","1791","10516","5.87"
"120001","ACRELÂNDIA","AC","10/2020","1785","43902","24.59"
"120001","ACRELÂNDIA","AC","12/2020","1785","47045","26.36"
"120005","ASSIS BRASIL","AC","12/2020","1413","162752","115.18"
"120005","ASSIS BRASIL","AC","01/2020","1416","445651.00","314.73"
"120005","ASSIS BRASIL","AC","02/2020","1414","444936","314.66"
"120005","ASSIS BRASIL","AC","03/2020","1406","446166","317.33"
"120005","ASSIS BRASIL","AC","04/2020","1409","9567","6.79"
"120005","ASSIS BRASIL","AC","06/2020","1414","9139","6.46"
"120005","ASSIS BRASIL","AC","07/2020","1414","8426","5.96"
"120005","ASSIS BRASIL","AC","08/2020","1414","8426","5.96"
"120005","ASSIS BRASIL","AC","09/2020","1413","152005","107.58"
"120005","ASSIS BRASIL","AC","11/2020","1413","157161","111.23"
"120005","ASSIS BRASIL","AC","10/2020","1413","155274","109.89"
"120005","ASSIS BRASIL","AC","05/2020","1413","9830","6.96"
"120010","BRASILÉIA","AC","02/2020","3120","619749","198.64"
"120010","BRASILÉIA","AC","04/2020","3325","16043","4.82"
"120010","BRASILÉIA","AC","12/2020","3341","96976","29.03"
"120010","BRASILÉIA","AC","10/2020","3341","78058","23.36"
"120010","BRASILÉIA","AC","09/2020","3341","72103","21.58"
"120010","BRASILÉIA","AC","11/2020","3341","82048","24.56"
"120010","BRASILÉIA","AC","08/2020","3340","15496","4.64"
"120010","BRASILÉIA","AC","06/2020","3340","16145","4.83"
"120010","BRASILÉIA","AC","07/2020","3340","15796","4.73"
