"Código","Unidade Territorial","UF","Referência","Pessoas com deficiência (PCD) que recebem o Benefício de Prestação Continuada (BPC) por Município pagador"
"120001","ACRELÂNDIA","AC","06/2020","157"
"120001","ACRELÂNDIA","AC","08/2020","160"
"120001","ACRELÂNDIA","AC","10/2020","161"
"120001","ACRELÂNDIA","AC","11/2020","138"
"120001","ACRELÂNDIA","AC","12/2020","136"
"120001","ACRELÂNDIA","AC","09/2020","159"
"120001","ACRELÂNDIA","AC","04/2020","154"
"120001","ACRELÂNDIA","AC","01/2020","111"
"120001","ACRELÂNDIA","AC","07/2020","157"
"120001","ACRELÂNDIA","AC","02/2020","149"
"120001","ACRELÂNDIA","AC","03/2020","153"
"120001","ACRELÂNDIA","AC","05/2020","152"
"120005","ASSIS BRASIL","AC","07/2020","113"
"120005","ASSIS BRASIL","AC","09/2020","115"
"120005","ASSIS BRASIL","AC","11/2020","115"
"120005","ASSIS BRASIL","AC","12/2020","114"
"120005","ASSIS BRASIL","AC","05/2020","112"
"120005","ASSIS BRASIL","AC","10/2020","115"
"120005","ASSIS BRASIL","AC","01/2020","113"
"120005","ASSIS BRASIL","AC","02/2020","111"
"120005","ASSIS BRASIL","AC","03/2020","111"
"120005","ASSIS BRASIL","AC","04/2020","111"
"120005","ASSIS BRASIL","AC","06/2020","114"
"120005","ASSIS BRASIL","AC","08/2020","115"
"120010","BRASILÉIA","AC","09/2020","694"
"120010","BRASILÉIA","AC","11/2020","688"
"120010","BRASILÉIA","AC","10/2020","689"
"120010","BRASILÉIA","AC","06/2020","689"
"120010","BRASILÉIA","AC","01/2020","676"
"120010","BRASILÉIA","AC","02/2020","677"
"120010","BRASILÉIA","AC","03/2020","676"
"120010","BRASILÉIA","AC","04/2020","678"
"120010","BRASILÉIA","AC","05/2020","681"
"120010","BRASILÉIA","AC","07/2020","689"
"120010","BRASILÉIA","AC","08/2020","692"
"120010","BRASILÉIA","AC","12/2020","684"
"120013","BUJARI","AC","09/2020","97"
"120013","BUJARI","AC","07/2020","99"
"120013","BUJARI","AC","12/2020","95"
"120013","BUJARI","AC","11/2020","97"
"120013","BUJARI","AC","10/2020","97"
"120013","BUJARI","AC","08/2020","98"
"120013","BUJARI","AC","06/2020","99"
"120013","BUJARI","AC","05/2020","99"
"120013","BUJARI","AC","04/2020","99"
"120013","BUJARI","AC","03/2020","100"
"120013","BUJARI","AC","02/2020","97"
"120013","BUJARI","AC","01/2020","99"
"120017","CAPIXABA","AC","03/2020","57"
"120017","CAPIXABA","AC","01/2020","58"
"120017","CAPIXABA","AC","08/2020","61"
"120017","CAPIXABA","AC","06/2020","57"
"120017","CAPIXABA","AC","09/2020","60"
"120017","CAPIXABA","AC","10/2020","60"
"120017","CAPIXABA","AC","05/2020","57"
"120017","CAPIXABA","AC","04/2020","57"
"120017","CAPIXABA","AC","07/2020","60"
"120017","CAPIXABA","AC","11/2020","60"
"120017","CAPIXABA","AC","12/2020","60"
"120017","CAPIXABA","AC","02/2020","57"
"120020","CRUZEIRO DO SUL","AC","01/2020","2851"
"120020","CRUZEIRO DO SUL","AC","02/2020","2810"
"120020","CRUZEIRO DO SUL","AC","03/2020","2836"
