Município,Frequência
TOTAL,282.046
310010 Abadia dos Dourados,108
310020 Abaeté,337
310030 Abre Campo,176
310040 Acaiaca,61
310050 Açucena,159
310060 Água Boa,147
310070 Água Comprida,30
310080 Aguanil,67
310090 Águas Formosas,306
310100 Águas Vermelhas,124
310110 Aimorés,422
310120 Aiuruoca,105
310130 Alagoa,46
310140 Albertina,35
310150 Além Paraíba,686
310160 Alfenas,1.114
310163 Alfredo Vasconcelos,91
310170 Almenara,542
310180 Alpercata,116
310190 Alpinópolis,251
310200 Alterosa,219
310205 Alto Caparaó,96
315350 Alto Jequitibá,123
310210 Alto Rio Doce,210
310220 Alvarenga,60
310230 Alvinópolis,185
310240 Alvorada de Minas,43
310250 Amparo do Serra,95
310260 Andradas,659
310280 Andrelândia,175
310285 Angelândia,60
310290 Antônio Carlos,175
310300 Antônio Dias,137
310310 Antônio Prado de Minas,34
310320 Araçaí,29
310330 Aracitaba,36
310340 Araçuaí,423
310350 Araguari,1.850
310360 Arantina,42
310370 Araponga,88
310375 Araporã,117
310380 Arapuá,38
310390 Araújos,101
310400 Araxá,1.512
310410 Arceburgo,153
310420 Arcos,595
310430 Areado,228
310440 Argirita,57
310445 Aricanduva,34
310450 Arinos,175
310460 Astolfo Dutra,220
310470 Ataléia,184
310480 Augusto de Lima,72
310490 Baependi,293
310500 Baldim,150
310510 Bambuí,394
310520 Bandeira,63
310530 Bandeira do Sul,98
310540 Barão de Cocais,350
310550 Barão de Monte Alto,97
310560 Barbacena,1.910
310570 Barra Longa,96
310590 Barroso,321
310600 Bela Vista de Minas,130
310610 Belmiro Braga,44
310620 Belo Horizonte,32.992
310630 Belo Oriente,353
310640 Belo Vale,110
310650 Berilo,102
310665 Berizal,34
310660 Bertópolis,52
310670 Betim,4.974
310680 Bias Fortes,57
310690 Bicas,272
310700 Biquinhas,36
310710 Boa Esperança,700
310720 Bocaina de Minas,49
310730 Bocaiúva,564
310740 Bom Despacho,717
310750 Bom Jardim de Minas,68
310760 Bom Jesus da Penha,37
310770 Bom Jesus do Amparo,49
310780 Bom Jesus do Galho,232
310790 Bom Repouso,153
310800 Bom Sucesso,290
310810 Bonfim,71
310820 Bonfinópolis de Minas,75
310825 Bonito de Minas,72
310830 Borda da Mata,316
310840 Botelhos,259
310850 Botumirim,58
310870 Brás Pires,89
310855 Brasilândia de Minas,149
310860 Brasília de Minas,458
310880 Braúnas,75
310890 Brazópolis,250
310900 Brumadinho,489
310910 Bueno Brandão,157
310920 Buenópolis,129
310925 Bugre,65
310930 Buritis,264
310940 Buritizeiro,274
310945 Cabeceira Grande,65
310950 Cabo Verde,176
310960 Cachoeira da Prata,60
310970 Cachoeira de Minas,138
310270 Cachoeira de Pajeú,99
310980 Cachoeira Dourada,30
310990 Caetanópolis,191
311000 Caeté,519
311010 Caiana,64
311020 Cajuri,49
311030 Caldas,245
311040 Camacho,42
311050 Camanducaia,351
311060 Cambuí,444
311070 Cambuquira,192
311080 Campanário,44
311090 Campanha,273
311100 Campestre,321
311110 Campina Verde,287
311115 Campo Azul,45
311120 Campo Belo,1.032
311130 Campo do Meio,184
311140 Campo Florido,65
311150 Campos Altos,157
311160 Campos Gerais,361
311190 Cana Verde,95
311170 Canaã,60
311180 Canápolis,188
311200 Candeias,203
311205 Cantagalo,52
311210 Caparaó,62
311220 Capela Nova,61
311230 Capelinha,361
311240 Capetinga,123
311250 Capim Branco,142
311260 Capinópolis,199
311265 Capitão Andrade,96
311270 Capitão Enéas,193
311280 Capitólio,124
311290 Caputira,117
311300 Caraí,244
311310 Caranaíba,41
311320 Carandaí,342
311330 Carangola,657
311340 Caratinga,1.380
311350 Carbonita,86
311360 Careaçu,105
311370 Carlos Chagas,296
311380 Carmésia,29
311390 Carmo da Cachoeira,178
311400 Carmo da Mata,158
311410 Carmo de Minas,167
311420 Carmo do Cajuru,291
311430 Carmo do Paranaíba,475
311440 Carmo do Rio Claro,277
311450 Carmópolis de Minas,211
311455 Carneirinho,131
311460 Carrancas,76
311470 Carvalhópolis,55
311480 Carvalhos,83
311490 Casa Grande,27
311500 Cascalho Rico,42
311510 Cássia,267
311530 Cataguases,1.218
311535 Catas Altas,68
311540 Catas Altas da Noruega,55
311545 Catuji,102
311547 Catuti,50
311550 Caxambu,361
311560 Cedro do Abaeté,25
311570 Central de Minas,121
311580 Centralina,192
311590 Chácara,53
311600 Chalé,89
311610 Chapada do Norte,66
311615 Chapada Gaúcha,104
311620 Chiador,39
311630 Cipotânea,114
311640 Claraval,28
311650 Claro dos Poções,111
311660 Cláudio,333
311670 Coimbra,101
311680 Coluna,83
311690 Comendador Gomes,33
311700 Comercinho,77
311710 Conceição da Aparecida,127
311520 Conceição da Barra de Minas,44
311730 Conceição das Alagoas,404
311720 Conceição das Pedras,38
311740 Conceição de Ipanema,71
311750 Conceição do Mato Dentro,257
311760 Conceição do Pará,69
311770 Conceição do Rio Verde,217
311780 Conceição dos Ouros,149
311783 Cônego Marinho,66
311787 Confins,71
311790 Congonhal,163
311800 Congonhas,658
311810 Congonhas do Norte,62
311820 Conquista,101
311830 Conselheiro Lafaiete,1.686
311840 Conselheiro Pena,338
311850 Consolação,39
311860 Contagem,7.783
311870 Coqueiral,155
311880 Coração de Jesus,294
311890 Cordisburgo,120
311900 Cordislândia,46
311910 Corinto,381
311920 Coroaci,123
311930 Coromandel,412
311940 Coronel Fabriciano,1.576
311950 Coronel Murta,83
311960 Coronel Pacheco,26
311970 Coronel Xavier Chaves,48
311980 Córrego Danta,45
311990 Córrego do Bom Jesus,51
311995 Córrego Fundo,73
312000 Córrego Novo,47
312010 Couto de Magalhães de Minas,71
312015 Crisólita,68
312020 Cristais,198
312030 Cristália,60
312040 Cristiano Otoni,77
312050 Cristina,150
312060 Crucilândia,53
312070 Cruzeiro da Fortaleza,50
312080 Cruzília,250
312083 Cuparaque,61
312087 Curral de Dentro,78
312090 Curvelo,1.164
312100 Datas,61
312110 Delfim Moreira,135
312120 Delfinópolis,86
312125 Delta,100
312130 Descoberto,86
312140 Desterro de Entre Rios,117
312150 Desterro do Melo,59
312160 Diamantina,568
312170 Diogo de Vasconcelos,48
312180 Dionísio,97
312190 Divinésia,57
312200 Divino,342
312210 Divino das Laranjeiras,75
312220 Divinolândia de Minas,105
312230 Divinópolis,2.936
312235 Divisa Alegre,67
312240 Divisa Nova,96
312245 Divisópolis,102
312247 Dom Bosco,41
312250 Dom Cavati,107
312260 Dom Joaquim,61
312270 Dom Silvério,68
312280 Dom Viçoso,47
312290 Dona Eusébia,92
312300 Dores de Campos,159
312310 Dores de Guanhães,61
312320 Dores do Indaiá,242
312330 Dores do Turvo,73
312340 Doresópolis,21
312350 Douradoquara,26
312352 Durandé,76
312360 Elói Mendes,366
312370 Engenheiro Caldas,174
312380 Engenheiro Navarro,92
312385 Entre Folhas,104
312390 Entre Rios de Minas,216
312400 Ervália,244
312410 Esmeraldas,778
312420 Espera Feliz,343
312430 Espinosa,397
312440 Espírito Santo do Dourado,68
312450 Estiva,146
312460 Estrela Dalva,42
312470 Estrela do Indaiá,53
312480 Estrela do Sul,83
312490 Eugenópolis,185
312500 Ewbank da Câmara,64
312510 Extrema,549
312520 Fama,39
312530 Faria Lemos,41
312540 Felício dos Santos,74
312560 Felisburgo,101
312570 Felixlândia,195
312580 Fernandes Tourinho,46
312590 Ferros,134
312595 Fervedouro,150
312600 Florestal,63
312610 Formiga,1.130
312620 Formoso,70
312630 Fortaleza de Minas,39
312640 Fortuna de Minas,39
312650 Francisco Badaró,87
312660 Francisco Dumont,55
312670 Francisco Sá,280
312675 Franciscópolis,55
312680 Frei Gaspar,96
312690 Frei Inocêncio,152
312695 Frei Lagonegro,34
312700 Fronteira,207
312705 Fronteira dos Vales,80
312707 Fruta de Leite,57
312710 Frutal,1.030
312720 Funilândia,56
312730 Galiléia,116
312733 Gameleiras,74
312735 Glaucilândia,35
312737 Goiabeira,49
312738 Goianá,47
312740 Gonçalves,72
312750 Gonzaga,74
312760 Gouveia,174
312770 Governador Valadares,4.511
312780 Grão Mogol,157
312790 Grupiara,21
312800 Guanhães,378
312810 Guapé,209
312820 Guaraciaba,180
312825 Guaraciama,54
312830 Guaranésia,297
312840 Guarani,159
312850 Guarará,66
312860 Guarda-Mor,67
312870 Guaxupé,832
312880 Guidoval,126
312890 Guimarânia,115
312900 Guiricema,128
312910 Gurinhatã,71
312920 Heliodora,104
312930 Iapu,153
312940 Ibertioga,87
312950 Ibiá,324
312960 Ibiaí,88
312965 Ibiracatu,70
312970 Ibiraci,134
312980 Ibirité,1.913
312990 Ibitiúra de Minas,68
313000 Ibituruna,46
313005 Icaraí de Minas,94
313010 Igarapé,405
313020 Igaratinga,129
313030 Iguatama,141
313040 Ijaci,89
313050 Ilicínea,159
313055 Imbé de Minas,69
313060 Inconfidentes,100
313065 Indaiabira,81
313070 Indianópolis,56
313080 Ingaí,33
313090 Inhapim,354
313100 Inhaúma,99
313110 Inimutaba,103
313115 Ipaba,209
313120 Ipanema,321
313130 Ipatinga,3.198
313140 Ipiaçu,79
313150 Ipuiúna,166
313160 Iraí de Minas,87
313170 Itabira,1.504
313180 Itabirinha,189
313190 Itabirito,684
313200 Itacambira,46
313210 Itacarambi,200
313220 Itaguara,174
313230 Itaipé,139
313240 Itajubá,1.574
313250 Itamarandiba,303
313260 Itamarati de Minas,59
313270 Itambacuri,341
313280 Itambé do Mato Dentro,40
313290 Itamogi,195
313300 Itamonte,210
313310 Itanhandu,258
313320 Itanhomi,166
313330 Itaobim,284
313340 Itapagipe,232
313350 Itapecerica,349
313360 Itapeva,169
313370 Itatiaiuçu,178
313375 Itaú de Minas,213
313380 Itaúna,1.394
313390 Itaverava,65
313400 Itinga,148
313410 Itueta,76
313420 Ituiutaba,1.870
313430 Itumirim,73
313440 Iturama,698
313450 Itutinga,47
313460 Jaboticatubas,272
313470 Jacinto,158
313480 Jacuí,126
313490 Jacutinga,385
313500 Jaguaraçu,38
313505 Jaíba,335
313507 Jampruca,56
313510 Janaúba,857
313520 Januária,812
313530 Japaraíba,40
313535 Japonvar,88
313540 Jeceaba,89
313545 Jenipapo de Minas,78
313550 Jequeri,196
313560 Jequitaí,104
313570 Jequitibá,74
313580 Jequitinhonha,249
313590 Jesuânia,82
313600 Joaíma,205
313610 Joanésia,78
313620 João Monlevade,1.080
313630 João Pinheiro,605
313640 Joaquim Felício,54
313650 Jordânia,117
313652 José Gonçalves de Minas,35
313655 José Raydan,67
313657 Josenópolis,44
313665 Juatuba,343
313670 Juiz de Fora,9.078
313680 Juramento,49
313690 Juruaia,115
313695 Juvenília,64
313700 Ladainha,186
313710 Lagamar,118
313720 Lagoa da Prata,703
313730 Lagoa dos Patos,41
313740 Lagoa Dourada,124
313750 Lagoa Formosa,294
313753 Lagoa Grande,119
313760 Lagoa Santa,690
313770 Lajinha,288
313780 Lambari,325
313790 Lamim,42
313800 Laranjal,132
313810 Lassance,85
313820 Lavras,1.327
313830 Leandro Ferreira,45
313835 Leme do Prado,47
313840 Leopoldina,938
313850 Liberdade,82
313860 Lima Duarte,251
313862 Limeira do Oeste,120
313865 Lontra,115
313867 Luisburgo,79
313868 Luislândia,88
313870 Luminárias,86
313880 Luz,295
313890 Machacalis,106
313900 Machado,540
313910 Madre de Deus de Minas,58
313920 Malacacheta,315
313925 Mamonas,87
313930 Manga,266
313940 Manhuaçu,1.133
313950 Manhumirim,354
313960 Mantena,434
313980 Mar de Espanha,210
313970 Maravilhas,73
313990 Maria da Fé,232
314000 Mariana,604
314010 Marilac,61
314015 Mário Campos,159
314020 Maripá de Minas,54
314030 Marliéria,67
314040 Marmelópolis,40
314050 Martinho Campos,181
314053 Martins Soares,115
314055 Mata Verde,69
314060 Materlândia,48
314070 Mateus Leme,433
317150 Mathias Lobato,36
314080 Matias Barbosa,250
314085 Matias Cardoso,96
314090 Matipó,176
314100 Mato Verde,169
314110 Matozinhos,490
314120 Matutina,70
314130 Medeiros,31
314140 Medina,266
314150 Mendes Pimentel,94
314160 Mercês,176
314170 Mesquita,76
314180 Minas Novas,209
314190 Minduri,70
314200 Mirabela,178
314210 Miradouro,148
314220 Miraí,199
314225 Miravânia,41
314230 Moeda,70
314240 Moema,111
314250 Monjolos,27
314260 Monsenhor Paulo,103
314270 Montalvânia,182
314280 Monte Alegre de Minas,343
314290 Monte Azul,308
314300 Monte Belo,183
314310 Monte Carmelo,698
314315 Monte Formoso,49
314320 Monte Santo de Minas,329
314340 Monte Sião,281
314330 Montes Claros,4.672
314345 Montezuma,70
314350 Morada Nova de Minas,114
314360 Morro da Garça,30
314370 Morro do Pilar,32
314380 Munhoz,105
314390 Muriaé,1.785
314400 Mutum,379
314410 Muzambinho,338
314420 Nacip Raydan,40
314430 Nanuque,587
314435 Naque,92
314437 Natalândia,38
314440 Natércia,69
314450 Nazareno,112
314460 Nepomuceno,369
314465 Ninheira,121
314467 Nova Belém,48
314470 Nova Era,243
314480 Nova Lima,1.145
314490 Nova Módica,56
314500 Nova Ponte,143
314505 Nova Porteirinha,86
314510 Nova Resende,183
314520 Nova Serrana,778
313660 Nova União,54
314530 Novo Cruzeiro,414
314535 Novo Oriente de Minas,157
314537 Novorizonte,68
314540 Olaria,29
314545 Olhos-d'Água,53
314550 Olímpio Noronha,34
314560 Oliveira,618
314570 Oliveira Fortes,23
314580 Onça de Pitangui,33
314585 Oratórios,78
314587 Orizânia,112
314590 Ouro Branco,410
314600 Ouro Fino,485
314610 Ouro Preto,990
314620 Ouro Verde de Minas,90
314625 Padre Carvalho,62
314630 Padre Paraíso,253
314655 Pai Pedro,67
314640 Paineiras,59
314650 Pains,108
314660 Paiva,19
314670 Palma,126
314675 Palmópolis,93
314690 Papagaios,202
314710 Pará de Minas,1.181
314700 Paracatu,993
314720 Paraguaçu,317
314730 Paraisópolis,309
314740 Paraopeba,287
314760 Passa Quatro,237
314770 Passa Tempo,149
314780 Passa-Vinte,27
314750 Passabém,29
314790 Passos,1.592
314795 Patis,59
314800 Patos de Minas,2.149
314810 Patrocínio,1.197
314820 Patrocínio do Muriaé,107
314830 Paula Cândido,102
314840 Paulistas,63
314850 Pavão,120
314860 Peçanha,182
314870 Pedra Azul,337
314875 Pedra Bonita,75
314880 Pedra do Anta,34
314890 Pedra do Indaiá,41
314900 Pedra Dourada,31
314910 Pedralva,149
314915 Pedras de Maria da Cruz,133
314920 Pedrinópolis,59
314930 Pedro Leopoldo,831
314940 Pedro Teixeira,21
314950 Pequeri,51
314960 Pequi,81
314970 Perdigão,118
314980 Perdizes,167
314990 Perdões,310
314995 Periquito,133
315000 Pescador,65
315010 Piau,57
315015 Piedade de Caratinga,110
315020 Piedade de Ponte Nova,60
315030 Piedade do Rio Grande,76
315040 Piedade dos Gerais,25
315050 Pimenta,136
315053 Pingo-d'Água,71
315057 Pintópolis,75
315060 Piracema,128
315070 Pirajuba,75
315080 Piranga,221
315090 Piranguçu,88
315100 Piranguinho,152
315110 Pirapetinga,196
315120 Pirapora,696
315130 Piraúba,173
315140 Pitangui,410
315150 Piumhi,535
315160 Planura,166
315170 Poço Fundo,210
315180 Poços de Caldas,2.600
315190 Pocrane,134
315200 Pompéu,469
315210 Ponte Nova,958
315213 Ponto Chique,59
315217 Ponto dos Volantes,132
315220 Porteirinha,502
315230 Porto Firme,152
315240 Poté,203
315250 Pouso Alegre,1.982
315260 Pouso Alto,133
315270 Prados,119
315280 Prata,424
315290 Pratápolis,157
315300 Pratinha,46
315310 Presidente Bernardes,80
315320 Presidente Juscelino,51
315330 Presidente Kubitschek,29
315340 Presidente Olegário,245
315360 Prudente de Morais,131
315370 Quartel Geral,40
315380 Queluzito,32
315390 Raposos,174
315400 Raul Soares,374
315410 Recreio,194
315415 Reduto,82
315420 Resende Costa,201
315430 Resplendor,311
315440 Ressaquinha,66
315445 Riachinho,87
315450 Riacho dos Machados,92
315460 Ribeirão das Neves,3.333
315470 Ribeirão Vermelho,67
315480 Rio Acima,100
315490 Rio Casca,220
315510 Rio do Prado,62
315500 Rio Doce,33
315520 Rio Espera,87
315530 Rio Manso,53
315540 Rio Novo,101
315550 Rio Paranaíba,182
315560 Rio Pardo de Minas,291
315570 Rio Piracicaba,145
315580 Rio Pomba,257
315590 Rio Preto,41
315600 Rio Vermelho,120
315610 Ritápolis,71
315620 Rochedo de Minas,36
315630 Rodeiro,118
315640 Romaria,61
315645 Rosário da Limeira,68
315650 Rubelita,89
315660 Rubim,156
315670 Sabará,1.456
315680 Sabinópolis,159
315690 Sacramento,337
315700 Salinas,586
315710 Salto da Divisa,92
315720 Santa Bárbara,356
315725 Santa Bárbara do Leste,123
315727 Santa Bárbara do Monte Verde,44
315730 Santa Bárbara do Tugúrio,46
315733 Santa Cruz de Minas,127
315737 Santa Cruz de Salinas,53
315740 Santa Cruz do Escalvado,75
315750 Santa Efigênia de Minas,74
315760 Santa Fé de Minas,45
315765 Santa Helena de Minas,80
315770 Santa Juliana,180
315780 Santa Luzia,2.628
315790 Santa Margarida,202
315800 Santa Maria de Itabira,154
315810 Santa Maria do Salto,60
315820 Santa Maria do Suaçuí,175
315920 Santa Rita de Caldas,162
315940 Santa Rita de Ibitipoca,37
315930 Santa Rita de Jacutinga,91
315935 Santa Rita de Minas,100
315950 Santa Rita do Itueto,70
315960 Santa Rita do Sapucaí,478
315970 Santa Rosa da Serra,38
315980 Santa Vitória,295
315830 Santana da Vargem,79
315840 Santana de Cataguases,61
315850 Santana de Pirapama,101
315860 Santana do Deserto,62
315870 Santana do Garambéu,29
315880 Santana do Jacaré,108
315890 Santana do Manhuaçu,101
315895 Santana do Paraíso,445
315900 Santana do Riacho,51
315910 Santana dos Montes,35
315990 Santo Antônio do Amparo,245
316000 Santo Antônio do Aventureiro,65
316010 Santo Antônio do Grama,75
316020 Santo Antônio do Itambé,41
316030 Santo Antônio do Jacinto,132
316040 Santo Antônio do Monte,348
316045 Santo Antônio do Retiro,70
316050 Santo Antônio do Rio Abaixo,24
316060 Santo Hipólito,43
316070 Santos Dumont,836
316080 São Bento Abade,56
316090 São Brás do Suaçuí,58
316095 São Domingos das Dores,60
316100 São Domingos do Prata,263
316105 São Félix de Minas,40
316110 São Francisco,698
