Município,Frequência
TOTAL,2.594
310010 Abadia dos Dourados,-
310020 Abaeté,3
310030 Abre Campo,-
310040 Acaiaca,1
310050 Açucena,1
310060 Água Boa,2
310070 Água Comprida,-
310080 Aguanil,1
310090 Águas Formosas,2
310100 Águas Vermelhas,1
310110 Aimorés,6
310120 Aiuruoca,1
310130 Alagoa,-
310140 Albertina,1
310150 Além Paraíba,9
310160 Alfenas,16
310163 Alfredo Vasconcelos,2
310170 Almenara,5
310180 Alpercata,1
310190 Alpinópolis,4
310200 Alterosa,2
310205 Alto Caparaó,1
315350 Alto Jequitibá,2
310210 Alto Rio Doce,3
310220 Alvarenga,3
310230 Alvinópolis,2
310240 Alvorada de Minas,-
310250 Amparo do Serra,-
310260 Andradas,11
310280 Andrelândia,4
310285 Angelândia,1
310290 Antônio Carlos,4
310300 Antônio Dias,1
310310 Antônio Prado de Minas,1
310320 Araçaí,-
310330 Aracitaba,-
310340 Araçuaí,3
310350 Araguari,22
310360 Arantina,1
310370 Araponga,1
310375 Araporã,2
310380 Arapuá,1
310390 Araújos,-
310400 Araxá,9
310410 Arceburgo,-
310420 Arcos,10
310430 Areado,2
310440 Argirita,-
310445 Aricanduva,-
310450 Arinos,3
310460 Astolfo Dutra,-
310470 Ataléia,3
310480 Augusto de Lima,-
310490 Baependi,1
310500 Baldim,2
310510 Bambuí,3
310520 Bandeira,1
310530 Bandeira do Sul,1
310540 Barão de Cocais,3
310550 Barão de Monte Alto,-
310560 Barbacena,20
310570 Barra Longa,2
310590 Barroso,5
310600 Bela Vista de Minas,-
310610 Belmiro Braga,2
310620 Belo Horizonte,294
310630 Belo Oriente,10
310640 Belo Vale,3
310650 Berilo,-
310665 Berizal,-
310660 Bertópolis,3
310670 Betim,31
310680 Bias Fortes,-
310690 Bicas,2
310700 Biquinhas,1
310710 Boa Esperança,4
310720 Bocaina de Minas,1
310730 Bocaiúva,2
310740 Bom Despacho,12
310750 Bom Jardim de Minas,1
310760 Bom Jesus da Penha,-
310770 Bom Jesus do Amparo,2
310780 Bom Jesus do Galho,1
